question_id,question,one,two,three,four,correct,image
4,Loneliness causes which of the following factors?,Sedimentary life-style,Criminal behaviour,Alcoholism,Low grades,Sedimentary life-style,drinkingLargeOutDD.PNG
5,Which of the following paths is correct?,Health issues -> loneliness -> jail time,Jail time -> alcoholism -> health issues,Negative parenting  -> childhood issues -> loneliness,Jail time -> loneliness -> behavioural issues,Negative parenting  -> childhood issues -> loneliness,drinkingLargeOutDD.PNG
6,Early age drinking causes which of the following?,Behavioural issues,Alcoholism,Jail time,Depression,Depression,DringkingIssuesLargeOrganic.jpg
7,Which of the following paths is correct?,Sedentary lifestyle -> health issues -> binge eating,,Gambling -> early age drinking -> depression,Low grades -> low salary -> low self-representation,Emotional problems -> binge eating -> health issues,DringkingIssuesLargeOrganic.jpg
8,Childhood issues causes which of the following?,Early age drinking,Low self-representation,Depression,Negativity,Early age drinking,drinkingIssuesLargeParallel.jpg
9,Which of the following paths is correct?,Emotional problems -> binge eating -> health issues,Early age drinking -> depression -> gambling,Low self-representation -> low salary -> lack of self-esteem,Behavioural issues -> poor education -> regular drinking,Emotional problems -> binge eating -> health issues,drinkingIssuesLargeParallel.jpg
10,Emotional problems causes which of the following?,Asocial behaviour,Health issues,Drinking parents,Depression,Asocial behaviour,drinkingIssuesLargeHier.jpg
11,Which of the following paths is correct?,Childhood issues -> early age drinking -> gambling,Low self-representation -> low salary -> low grades,,Poor education -> criminal behaviour -> negative parenting,Childhood issues -> early age drinking -> gambling,drinkingIssuesLargeHier.jpg
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,