"participant_id","all_matrix_path_large"
1,"45.104"
1,"46.35"
1,"47.614"
2,"37.471"
2,"42.879"
2,"43.687"
3,"26.664"
3,"45.834"
3,"44.895"
4,"79.047"
4,"78.134"
4,"124.959"
5,"25.022"
5,"34.781"
5,"22.231"
6,"28.374"
6,"42.484"
6,"81.804"
7,"23.675"
7,"14.182"
7,"78.426"
8,"27.639"
8,"35.015"
8,"36.552"
9,"93.271"
9,"30.615"
9,"78.191"
10,"38.424"
10,"106.253"
10,"59.446"
11,"75.256"
11,"30.351"
11,"48.872"
12,"38.335"
12,"44.464"
12,"36.207"
13,"23.712"
13,"42.623"
13,"42.559"
14,"33.791"
14,"44.559"
14,"20.127"
15,"35.847"
15,"32.487"
15,"54.999"
16,"43.943"
16,"35.791"
16,"26.027"
17,"24.895"
17,"26.711"
17,"36.076"
18,"48.607"
18,"57.242"
18,"43.3"
19,"48.396"
19,"53.95"
19,"49.511"
20,"56.586"
20,"42.207"
20,"43.086"
21,"51.301"
21,"34.392"
21,"34.208"
22,"37.933"
22,"30.498"
22,"46.523"
23,"61.02"
23,"35.77"
23,"62.839"
24,"52.263"
24,"52.016"
24,"95.607"
25,"32.882"
25,"45.941"
25,"79.822"
26,"33.151"
26,"44.119"
26,"33.151"
26,"44.119"
26,"38.334"
26,"38.334"
27,"46.303"
27,"49.568"
27,"43.845"
28,"64.552"
28,"50.247"
28,"41.772"
29,"44.575"
29,"44.502"
29,"42.828"
30,"50.48"
30,"82.527"
30,"74.543"