"participant_id","direct_matrix"
14,"10.5134444444444"
25,"14.7395555555556"
27,"11.7461111111111"
8,"12.8894444444444"
12,"9.92411111111111"
17,"13.4797777777778"
28,"15.6272222222222"
1,"12.6566666666667"
15,"11.153"
10,"14.1634444444444"
26,"10.7206666666667"
11,"9.94144444444444"
4,"15.0841111111111"
18,"16.5822222222222"
30,"24.5055555555556"
16,"13.9522222222222"
6,"13.1488888888889"
19,"15.7321111111111"
29,"11.4732222222222"
2,"13.0133333333333"
21,"9.71311111111111"
3,"11.5922222222222"
23,"16.1387777777778"
20,"10.0782222222222"
5,"10.9124444444444"
13,"13.7745555555556"
22,"11.6593333333333"
9,"18.488"
7,"12.6686666666667"
24,"22.7753333333333"