"participant_id","node_path_large"
1,"32.9826666666667"
2,"47.9816666666667"
3,"26.7506666666667"
4,"62.8256666666667"
5,"42.3896666666667"
6,"24.4306666666667"
7,"35.2373333333333"
8,"56.786"
9,"53.874"
10,"25.8043333333333"
11,"24.9216666666667"
12,"36.3486666666667"
13,"31.738"
14,"50.2943333333333"
15,"33.6206666666667"
16,"60.0803333333333"
17,"22.051"
18,"42.942"
19,"24.1186666666667"
20,"24.2016666666667"
21,"22.6043333333333"
22,"44.384"
23,"51.1063333333333"
24,"81.122"
25,"43.8243333333333"
26,"32.8656666666667"
27,"40.13"
28,"51.8816666666667"
29,"31.1003333333333"
30,"26.85"