"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
25,34,"Obesity                                                                                                                                                                                                                                                                                                     ","168.455","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
24,34,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","157.535","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
28,34,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","125.672","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
35,34,"Low salary                                                                                                                                                                                                                                                                                                  ","67.455","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
21,34,"Gambling                                                                                                                                                                                                                                                                                                    ","54.808","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
7,34,"Behavioural issues                                                                                                                                                                                                                                                                                          ","46.128","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
6,34,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","36.321","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
36,33,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","884.797","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
16,33,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","850.369","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
3,33,"More friends                                                                                                                                                                                                                                                                                                ","805.827","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
17,33,"Sports avoidance                                                                                                                                                                                                                                                                                            ","796.763","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
19,33,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","787.668","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
29,33,"Early age drinking                                                                                                                                                                                                                                                                                          ","778.879","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
34,33,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","760.224","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
2,33,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","714.732","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
31,33,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","679.045","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
30,33,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","660.378","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
10,33,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","639.874","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
27,33,"Pass exams                                                                                                                                                                                                                                                                                                  ","617.613","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
23,33,"Health issues                                                                                                                                                                                                                                                                                               ","607.901","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
8,33,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","595.405","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
22,33,"Drinking partents->underaged drinking -> gambling                                                                                                                                                                                                                                                           ","582.251","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
24,33,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","559.847","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
1,33,"Depression                                                                                                                                                                                                                                                                                                  ","524.558","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
4,33,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","510.456","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
9,33,"Better social life                                                                                                                                                                                                                                                                                          ","476.661","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
21,33,"Gambling                                                                                                                                                                                                                                                                                                    ","467.992","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
35,33,"Low salary                                                                                                                                                                                                                                                                                                  ","447.184","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
12,33,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","432.485","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
6,33,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","398.527","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
26,33,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","371.971","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
5,33,"Successful Debates                                                                                                                                                                                                                                                                                          ","330.617","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
20,33,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","312.975","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
7,33,"Behavioural issues                                                                                                                                                                                                                                                                                          ","291.358","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
13,33,"Poor performance                                                                                                                                                                                                                                                                                            ","264.541","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
28,33,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","248.654","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
15,33,"Low salary                                                                                                                                                                                                                                                                                                  ","210.102","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
14,33,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","171.943","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
18,33,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","146.269","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
25,33,"Obesity                                                                                                                                                                                                                                                                                                     ","104.037","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
11,33,"Pass exams                                                                                                                                                                                                                                                                                                  ","74.157","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
33,33,"Gym buddy                                                                                                                                                                                                                                                                                                   ","64.406","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
32,33,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","49.54","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
25,31,"Obesity                                                                                                                                                                                                                                                                                                     ","978.594","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
5,31,"Successful Debates                                                                                                                                                                                                                                                                                          ","968.656","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
28,31,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","954.814","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
6,31,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","916.296","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
8,31,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","905.009","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
18,31,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","890.933","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
23,31,"Health issues                                                                                                                                                                                                                                                                                               ","867.686","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
27,31,"Pass exams                                                                                                                                                                                                                                                                                                  ","857.363","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
20,31,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","834.541","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
19,31,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","816.103","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
35,31,"Low salary                                                                                                                                                                                                                                                                                                  ","803.679","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
16,31,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","789.776","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
12,31,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","747.101","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
33,31,"Gym buddy                                                                                                                                                                                                                                                                                                   ","732.213","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
11,31,"Pass exams                                                                                                                                                                                                                                                                                                  ","721.726","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
13,31,"Poor performance                                                                                                                                                                                                                                                                                            ","709.04","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
26,31,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","696.257","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
29,31,"Depression                                                                                                                                                                                                                                                                                                  ","667.965","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
34,31,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","603.247","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
10,31,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","577.518","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
24,31,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","553.017","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
1,31,"Depression                                                                                                                                                                                                                                                                                                  ","524.22","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
31,31,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","515.888","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
15,31,"Low salary                                                                                                                                                                                                                                                                                                  ","502.552","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
30,31,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","484.729","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
9,31,"Better social life                                                                                                                                                                                                                                                                                          ","470.68","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
32,31,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","462.356","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
2,31,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","413.147","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
17,31,"Sports avoidance                                                                                                                                                                                                                                                                                            ","359.713","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
4,31,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","341.607","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
3,31,"More friends                                                                                                                                                                                                                                                                                                ","324.397","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
7,31,"Behavioural issues                                                                                                                                                                                                                                                                                          ","308.399","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
14,31,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","296.613","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
36,31,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","281.394","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
22,31,"Drinking partents->underaged drinking -> gambling                                                                                                                                                                                                                                                           ","126.414","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
21,31,"Gambling                                                                                                                                                                                                                                                                                                    ","33.348","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
22,29,"Sedentary lifestyle -> alcoholism -> obesity                                                                                                                                                                                                                                                                ","42.564","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
4,29,"More friends -> better planning -> self-discipline                                                                                                                                                                                                                                                          ","40.592","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
11,29,"Critical thinking                                                                                                                                                                                                                                                                                           ","35.34","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
33,29,"Being fit                                                                                                                                                                                                                                                                                                   ","30.017","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
19,29,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","18.823","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
18,29,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","6.487","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
22,29,"Sedentary lifestyle -> alcoholism -> obesity                                                                                                                                                                                                                                                                ","56.643","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
4,29,"More friends -> better planning -> self-discipline                                                                                                                                                                                                                                                          ","51.032","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
11,29,"Critical thinking                                                                                                                                                                                                                                                                                           ","45.94","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
33,29,"Feeling happy                                                                                                                                                                                                                                                                                               ","37.093","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
19,29,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","22.028","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
18,29,"Taking supplements -> gym mania -> gym facilities                                                                                                                                                                                                                                                           ","10.715","no                            ","node-linked                   ","medium                        ","parallel                      ","gym                           "
22,29,"Sedentary lifestyle -> alcoholism -> obesity                                                                                                                                                                                                                                                                ","30.649","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
4,29,"More friends -> better planning -> self-discipline                                                                                                                                                                                                                                                          ","24.144","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
11,29,"Critical thinking                                                                                                                                                                                                                                                                                           ","20.109","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
33,29,"Feeling happy                                                                                                                                                                                                                                                                                               ","18.273","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
19,29,"Relaxed Self                                                                                                                                                                                                                                                                                                ","16.305","no                            ","matrix                        ","medium                        ","alpha                         ","student                       "
18,29,"Taking supplements -> gym mania -> gym facilities                                                                                                                                                                                                                                                           ","13.314","no                            ","node-linked                   ","medium                        ","parallel                      ","gym                           "
22,29,"Sedentary lifestyle -> alcoholism -> obesity                                                                                                                                                                                                                                                                ","10.909","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
4,29,"Better planning -> self-discipline -> doing sports                                                                                                                                                                                                                                                          ","8.592","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
11,29,"Critical thinking                                                                                                                                                                                                                                                                                           ","2.891","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
33,29,"Feeling happy                                                                                                                                                                                                                                                                                               ","2.97","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
19,29,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","5.281","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
18,29,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","4.407","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "